id,opened_ts,slug,market_id,side,entry_price,initial_size,remaining_size,entry_edge,entry_note,entry_source,trade_token_id,closed_ts,close_price,close_note,realized_pnl,result,trigger_reason,failure_reason_if_loss
139,2026-03-01T17:56:57.219957+00:00,btc-updown-5m-1772387700,1467707,BUY_NO,0.61,16.39344262295082,,0.19000000000000006,edge=0.1900 spread=0.01 depth=2610.2 imbalance=-0.02 source=clob,clob,4951573660229054666962818959297773652223402082168973995303004580207675772322,2026-03-01T17:57:51.812636+00:00,0.47,auto_stop_loss,-2.2950819672131146,LOSS,edge=0.1900 spread=0.01 depth=2610.2 imbalance=-0.02 source=clob,Stopped out before reversal / adverse move exceeded stop rule
140,2026-03-01T17:57:17.939559+00:00,btc-updown-5m-1772387700,1467707,BUY_NO,0.6,16.666666666666668,,0.20000000000000007,edge=0.2000 spread=0.02 depth=3110.1 imbalance=0.34 source=clob,clob,4951573660229054666962818959297773652223402082168973995303004580207675772322,2026-03-01T17:57:51.812636+00:00,0.47,auto_stop_loss,-2.166666666666667,LOSS,edge=0.2000 spread=0.02 depth=3110.1 imbalance=0.34 source=clob,Stopped out before reversal / adverse move exceeded stop rule
141,2026-03-01T17:57:38.291225+00:00,btc-updown-5m-1772387700,1467707,BUY_NO,0.53,18.867924528301884,,0.27,edge=0.2700 spread=0.01 depth=3802.4 imbalance=0.44 source=clob,clob,4951573660229054666962818959297773652223402082168973995303004580207675772322,2026-03-01T17:57:51.812636+00:00,0.47,auto_stop_loss,-1.132075471698114,LOSS,edge=0.2700 spread=0.01 depth=3802.4 imbalance=0.44 source=clob,Stopped out before reversal / adverse move exceeded stop rule
142,2026-03-01T17:58:26.286827+00:00,btc-updown-5m-1772387700,1467707,BUY_NO,0.27,35.777891088931725,35.777891088931725,0.53,edge=0.5300 spread=0.01 depth=3993.4 imbalance=-0.48 source=clob bal=1932.01 risk=9.66,clob,4951573660229054666962818959297773652223402082168973995303004580207675772322,2026-03-01T17:59:00.396176+00:00,0.38,auto_take_profit,3.9355680197824894,WIN,edge=0.5300 spread=0.01 depth=3993.4 imbalance=-0.48 source=clob bal=1932.01 risk=9.66,
143,2026-03-01T17:59:00.435383+00:00,btc-updown-5m-1772387700,1467707,BUY_NO,0.39,24.819765215667893,24.819765215667893,0.41000000000000003,edge=0.4100 spread=0.01 depth=1965.6 imbalance=-0.06 source=clob bal=1935.94 risk=9.68,clob,4951573660229054666962818959297773652223402082168973995303004580207675772322,2026-03-01T17:59:14.093547+00:00,0.29000000000000004,auto_stop_loss,-2.481976521566789,LOSS,edge=0.4100 spread=0.01 depth=1965.6 imbalance=-0.06 source=clob bal=1935.94 risk=9.68,Stopped out before reversal / adverse move exceeded stop rule
144,2026-03-01T18:00:02.024980+00:00,btc-updown-5m-1772388000,1467738,BUY_YES,0.51,19.607843137254903,,0.29000000000000004,edge=0.2900 spread=0.01 depth=6243.5 imbalance=0.01 source=clob,clob,22690956742291898770375975330852025913508776981504429848997501931393824676368,2026-03-01T18:02:04.076935+00:00,0.65,auto_take_profit,2.7450980392156867,WIN,edge=0.2900 spread=0.01 depth=6243.5 imbalance=0.01 source=clob,
145,2026-03-01T18:00:35.977623+00:00,btc-updown-5m-1772388000,1467738,BUY_NO,0.5,19.334597103005287,0.0,0.30000000000000004,edge=0.3000 spread=0.01 depth=5682.6 imbalance=0.07 source=clob bal=1933.46 risk=9.67,clob,80615008255321508827315211397257163793710479616436254262954375012637599424065,2026-03-01T18:01:50.605803+00:00,0.4,auto_stop_loss,-1.9334597103005282,LOSS,edge=0.3000 spread=0.01 depth=5682.6 imbalance=0.07 source=clob bal=1933.46 risk=9.67,Stopped out before reversal / adverse move exceeded stop rule
146,2026-03-01T18:01:36.837291+00:00,btc-updown-5m-1772388000,1467738,BUY_YES,0.5,20.0,0.0,0.30000000000000004,edge=0.3000 spread=0.01 depth=1302.9 imbalance=-0.04 source=clob,clob,22690956742291898770375975330852025913508776981504429848997501931393824676368,2026-03-01T18:01:50.574663+00:00,0.59,auto_take_profit,1.7999999999999994,WIN,edge=0.3000 spread=0.01 depth=1302.9 imbalance=-0.04 source=clob,
147,2026-03-01T18:01:43.753761+00:00,btc-updown-5m-1772388000,1467738,BUY_NO,0.48,20.140205315630507,0.0,0.32000000000000006,edge=0.3200 spread=0.01 depth=2846.7 imbalance=0.51 source=clob bal=1933.46 risk=9.67,clob,80615008255321508827315211397257163793710479616436254262954375012637599424065,2026-03-01T18:01:50.605803+00:00,0.4,auto_stop_loss,-1.6112164252504397,LOSS,edge=0.3200 spread=0.01 depth=2846.7 imbalance=0.51 source=clob bal=1933.46 risk=9.67,Stopped out before reversal / adverse move exceeded stop rule
148,2026-03-01T18:02:24.774031+00:00,btc-updown-5m-1772388000,1467738,BUY_NO,0.33999999999999997,28.447943120649906,28.447943120649906,0.4600000000000001,edge=0.4600 spread=0.01 depth=3203.4 imbalance=-0.29 source=clob bal=1934.46 risk=9.67,clob,80615008255321508827315211397257163793710479616436254262954375012637599424065,2026-03-01T18:02:52.028955+00:00,0.43999999999999995,auto_take_profit,2.84479431206499,WIN,edge=0.4600 spread=0.01 depth=3203.4 imbalance=-0.29 source=clob bal=1934.46 risk=9.67,
